file_name	val_mean_us	aro_mean_us	val_sd_us	aro_sd_us	val_n_us	aro_n_us	val_cilo_us	val_ciup_us	aro_cilo_us	aro_ciup_us	val_mean_ch	aro_mean_ch	val_sd_ch	aro_sd_ch	val_n_ch	aro_n_ch	val_cilo_ch	val_ciup_ch	aro_cilo_ch	aro_ciup_ch	val_diff	aro_diff	val_bf_10	val_bf_01	aro_bf_10	aro_bf_01	val_resid	aro_resid	black_px	white_px	keywords	source
armchair.png	5.5	2.510416667	1.142481141	1.704451087	96	96	5.271460373	2.85137163	5.271460373	2.85137163	5.371134021	4.411764706	1.013652509	1.729170295	97	119	5.169412923	4.722444048	5.169412923	4.722444048	0.128865979	1.901348039	0.218064533	4.585798469	109158.8079	9.16E-06	-3.14E-02	-2.08E+00	2.59E+04	6.41E+04	peace, comfort, softness, seat, chair, vintage, comfy	Pixabay
army.png	4.282608696	5.882978723	1.847636369	1.894283324	92	94	3.905061995	6.265917284	3.905061995	6.265917284	5.589285714	5.570175439	1.77851832	1.585159595	112	114	5.259905565	5.861159137	5.259905565	5.861159137	1.306677019	0.312803285	686.0455534	0.001457629	0.557925412	1.79235428	-1.511619178	0.766757284	16113	73887	war, weapons, aggression, soldier, flag, gun, gun, patriot	Pixabay
attack.png	1.587155963	7.195876289	1.011150877	2.352477308	109	97	1.397332101	7.664029133	1.397332101	7.664029133	2.14	5.009174312	1.511036837	2.626416418	100	109	1.843842222	5.502232785	1.843842222	5.502232785	0.552844037	2.186701977	1.770814273	0.564711961	6385.044922	0.000156616	-0.0508791	2.33485305	30332	59668	death, killing, violence, knife, murder, assault, raid, threat, violation, aggressive, knife, danger	Pixabay
attack2.png	1.627659574	6.744897959	0.803005678	2.334462672	94	98	1.465328082	7.207089494	1.465328082	7.207089494	3.173469388	4.651785714	1.752909277	2.108369514	98	112	2.826417435	5.042254038	2.826417435	5.042254038	1.545809813	2.093112245	11486.89632	8.71E-05	8392.941017	0.000119148	-1.255647234	2.046450022	39263	50737	hit, abuse, maltreatment, beat-up, violence, threat, suppression	Anna Lumaca
axe.png	3.291666667	5.5	1.30518534	1.863782233	96	96	3.030580019	5.872827245	3.030580019	5.872827245	3.84	4.823529412	1.468318629	1.783384037	100	119	3.552214837	5.143949315	3.552214837	5.143949315	0.548333333	0.676470588	2.856268101	0.35010719	4.298126915	0.232659486	-0.394771563	0.723426225	15854	74146	death, dangerous, wood, weapon, sharp, hatchet	Pixabay
axe2.png	3.673913043	5.776595745	1.583629824	2.296112916	92	94	3.350313538	6.240766106	3.350313538	6.240766106	3.62037037	4.877192982	1.489637682	1.987306403	108	114	3.339428245	5.241997743	3.339428245	5.241997743	0.053542673	0.899402762	0.17072022	5.857536953	6.181509809	0.161772776	0.252116007	0.975610528	13184	76816	lumberjack, woodcutter, tool, sharp, hatchet	Pixabay
axe3.png	2.550458716	6.371134021	1.475015622	2.171403097	109	97	2.273553292	6.803252338	2.273553292	6.803252338	3.222222222	5.009174312	1.594349433	1.997662582	99	109	2.908161225	5.384196512	2.908161225	5.384196512	0.671763507	1.361959709	5.200307161	0.192296333	371.6748742	0.002690524	-0.391592481	1.510110782	20068	69932	killing, beheading, knight, weapon, hatchet, war	Wikimedia
badminton.png	6.819148936	5.602040816	1.343745095	1.774619436	94	98	6.547504349	5.953391082	6.547504349	5.953391082	6.98	6.198198198	1.33318181	1.29908933	100	111	6.718701167	6.439869798	6.718701167	6.439869798	0.160851064	0.596157382	0.213896017	4.675168872	2.190204502	0.456578369	-0.650810435	0.20013318	12243	77757	service, game, action, racket, sport, playing, game, sports, catching	Pixabay
balance.png	6.25	6.427083333	1.635140425	1.804933541	96	96	5.922909802	6.788138605	5.922909802	6.788138605	5.91	6.220338983	1.378734598	1.468388228	100	118	5.639772984	6.485279257	5.639772984	6.485279257	0.34	0.20674435	0.425191198	2.351883117	0.266619545	3.750662772	0.06932968	1.015103902	8992	81008	equilibrium, harmony, tightrope, calm, acrobatics, circus, entertainment, excitement	Pixabay
ballerina.png	7.652173913	4.968421053	1.448263702	2.214327772	92	95	7.356235171	5.413695933	7.356235171	5.413695933	7.407079646	6.165217391	1.243821646	1.716434671	113	115	7.17774642	6.478926009	7.17774642	6.478926009	0.245094267	1.196796339	0.370636592	2.69806064	84.56235822	0.011825593	-0.332392104	-0.418483686	12822	77178	dancing, ballet, female dancer, elegance, dance	Pixabay
ballerina2.png	7.28440367	4.979381443	1.327011004	1.952452419	109	97	7.035283227	5.367927658	7.035283227	5.367927658	7.13	5.925233645	1.368144065	1.805133845	100	107	6.861848691	6.267264756	6.861848691	6.267264756	0.15440367	0.945852202	0.196532666	5.088212676	25.92467105	0.038573296	-0.366297157	-0.298355207	11151	78849	graceful, exercise, ballet, pirouette, female dancer, elegance	Pixabay
